from_vertex_id;to_vertex_id;one_way;weight;geom
6732;6733;FT;20.135255;LINESTRING(37.638610 55.762185,37.638588 55.762152,37.638495 55.762016)
14126;14127;FT;12.171129;LINESTRING(37.647750 55.759643,37.647843 55.759662,37.647931 55.759683)
22397;22398;FT;16.246485;LINESTRING(37.581012 55.746005,37.580908 55.745984,37.580762 55.745966)
12592;12593;FT;79.442267;LINESTRING(37.562692 55.754431,37.561715 55.754335,37.561444 55.754302)
14832;14830;FT;4.539736;LINESTRING(37.697475 55.766830,37.697448 55.766819,37.697412 55.766811)
24469;24470;FT;3.152936;LINESTRING(37.601377 55.744688,37.601391 55.744678,37.601405 55.744664)
23967;23968;FT;5.120227;LINESTRING(37.613619 55.767982,37.613637 55.767960,37.613653 55.767940)
2054;2056;FT;5.026214;LINESTRING(37.647582 55.753045,37.647598 55.753045,37.647662 55.753044)
17952;17953;FT;23.253058;LINESTRING(37.575273 55.750986,37.575363 55.750858,37.575397 55.750789)
3431;3432;FT;26.261235;LINESTRING(37.657426 55.745079,37.657073 55.745137,37.657023 55.745145)
18890;17287;FT;30.079523;LINESTRING(37.612790 55.741996,37.612567 55.741804,37.612532 55.741768)
23913;23915;FT;65.742756;LINESTRING(37.688526 55.736071,37.688666 55.735812,37.688487 55.735508)
22953;8038;FT;19.237683;LINESTRING(37.678338 55.752249,37.678450 55.752395,37.678473 55.752390)
22953;20490;FT;22.214129;LINESTRING(37.678338 55.752249,37.678450 55.752395,37.678476 55.752433)
5997;5998;FT;29.385315;LINESTRING(37.670090 55.746756,37.669990 55.746791,37.669677 55.746882)
1918;1920;FT;20.182773;LINESTRING(37.649408 55.761880,37.649215 55.762012,37.649203 55.762020)
1918;1985;FT;22.469021;LINESTRING(37.649408 55.761880,37.649215 55.762012,37.649174 55.761992)
12892;12890;FT;10.698899;LINESTRING(37.674364 55.773673,37.674437 55.773625,37.674480 55.773603)
9825;9827;FT;34.998326;LINESTRING(37.591980 55.732811,37.591986 55.732823,37.592142 55.733112)
3463;3465;FT;48.003931;LINESTRING(37.651097 55.746471,37.651054 55.746394,37.650880 55.746057)
5685;5665;FT;12.249725;LINESTRING(37.661357 55.772495,37.661334 55.772451,37.661298 55.772389)
5685;21718;FT;11.098766;LINESTRING(37.661357 55.772495,37.661334 55.772451,37.661237 55.772448)
5685;21719;FT;13.375301;LINESTRING(37.661357 55.772495,37.661334 55.772451,37.661466 55.772440)
17152;17154;FT;30.872472;LINESTRING(37.634560 55.738081,37.634453 55.738221,37.634363 55.738335)
17152;21393;FT;21.480205;LINESTRING(37.634560 55.738081,37.634453 55.738221,37.634386 55.738206)
15128;15129;FT;6.834360;LINESTRING(37.654112 55.742190,37.654063 55.742188,37.654005 55.742178)
3543;3544;FT;21.024769;LINESTRING(37.625761 55.730523,37.625783 55.730568,37.625852 55.730705)
11101;11334;FT;17.599497;LINESTRING(37.680152 55.763145,37.680134 55.763059,37.680260 55.763049)
11101;13982;FT;20.983667;LINESTRING(37.680152 55.763145,37.680134 55.763059,37.679956 55.763077)
20452;10064;FT;14.591285;LINESTRING(37.679895 55.766497,37.679914 55.766407,37.679841 55.766408)
20452;20450;FT;35.146820;LINESTRING(37.679895 55.766497,37.679914 55.766407,37.679948 55.766182)
13407;13405;FT;11.095544;LINESTRING(37.661896 55.750897,37.661872 55.750950,37.661858 55.750994)
12088;12086;FT;38.570352;LINESTRING(37.663439 55.747694,37.663710 55.747608,37.663976 55.747524)
12374;12375;FT;8.458522;LINESTRING(37.623952 55.730294,37.623944 55.730240,37.623940 55.730218)
21657;21655;FT;26.965887;LINESTRING(37.569526 55.769399,37.569585 55.769395,37.569955 55.769372)
3030;3031;FT;16.883050;LINESTRING(37.604347 55.755843,37.604360 55.755842,37.604613 55.755818)
25615;25616;FT;15.437014;LINESTRING(37.600700 55.755004,37.600645 55.755071,37.600586 55.755127)
222;223;FT;9.877142;LINESTRING(37.631329 55.760205,37.631331 55.760198,37.631361 55.760118)
17039;17037;FT;26.848157;LINESTRING(37.561893 55.746905,37.561955 55.747115,37.561964 55.747143)
7720;7718;FT;21.952673;LINESTRING(37.627016 55.739294,37.627025 55.739482,37.627026 55.739491)
2661;2662;FT;30.772775;LINESTRING(37.607878 55.752017,37.607950 55.752224,37.607973 55.752289)
3830;3828;FT;23.804848;LINESTRING(37.631864 55.734251,37.631714 55.734226,37.631499 55.734190)
11052;6499;FT;9.139811;LINESTRING(37.589025 55.762901,37.588956 55.762935,37.588915 55.762955)
11052;3144;FT;9.528462;LINESTRING(37.589025 55.762901,37.588956 55.762935,37.588927 55.762905)
22847;22848;FT;10.788821;LINESTRING(37.570479 55.745618,37.570507 55.745632,37.570636 55.745656)
19178;19180;FT;59.727373;LINESTRING(37.672703 55.732899,37.673202 55.733129,37.673436 55.733243)
1699;1700;FT;1.825173;LINESTRING(37.595652 55.769029,37.595648 55.769036,37.595641 55.769044)
11331;11333;FT;30.083928;LINESTRING(37.680736 55.763011,37.680386 55.763039,37.680260 55.763049)
22923;22924;FT;10.736502;LINESTRING(37.631444 55.760437,37.631374 55.760377,37.631350 55.760356)
18128;18126;FT;44.124720;LINESTRING(37.575784 55.742307,37.575924 55.742296,37.576480 55.742349)
